#Header: Date:22/04/2021 19:54:31; freq_file_name:StringFreqCorpus.csv; tokenFreqPckg-version:V1.0; Num of Keys:1057765,,,,
WORD,FREQ,FREQ_LOG,COMPLEX,LENGTH
את,23239,53.66,0,2
של,19720,52.95,0,2
לא,14317,51.56,0,2
על,13096,51.17,0,2
הוא,8734,49.41,0,3
זה,6141,47.88,0,2
היה,5319,47.26,0,3
היא,5088,47.07,0,3
אני,4930,46.93,0,3
כל,4608,46.64,0,2
עם,4529,46.56,0,2
אבל,4458,46.49,0,3
גם,4214,46.25,0,2
מה,3881,45.89,0,2
או,3413,45.33,0,2
כי,3071,44.87,0,2
לי,3035,44.82,0,2
כך,2973,44.73,0,2
אל,2969,44.73,0,2
לו,2882,44.6,0,2
יותר,2827,44.51,0,4
אם,2698,44.31,0,2
אותו,2667,44.26,0,4
הם,2619,44.18,0,2
רק,2560,44.08,0,2
כמו,2552,44.07,0,3
יש,2500,43.98,0,2
אחד,2252,43.53,0,3
עד,2230,43.48,0,2
שלו,2010,43.03,0,3
היו,1960,42.92,0,3
בין,1886,42.76,0,3
כבר,1868,42.71,0,3
כדי,1862,42.7,0,3
היתה,1852,42.68,0,4
אמר,1814,42.59,0,3
עוד,1747,42.42,0,3
לה,1716,42.35,0,2
שלא,1704,42.31,0,3
אתה,1634,42.13,0,3
שלי,1601,42.04,0,3
אותה,1586,42,0,4
אין,1567,41.95,0,3
שם,1554,41.91,0,2
שהוא,1507,41.78,0,4
לפני,1477,41.69,0,4
הזה,1447,41.6,0,3
זאת,1441,41.59,0,3
כמה,1439,41.58,0,3
אחר,1408,41.49,0,3
בו,1377,41.39,0,2
ולא,1361,41.34,0,3
אך,1356,41.32,0,2
זו,1348,41.3,0,2
אז,1260,41,0,2
אחרי,1237,40.92,0,4
אחת,1231,40.9,0,3
פעם,1212,40.84,0,3
ב,1203,40.8,0,1
מאוד,1201,40.8,0,4
אף,1199,40.79,0,2
שלה,1185,40.74,0,3
לך,1173,40.69,0,2
בכל,1165,40.66,0,3
דבר,1129,40.53,0,3
אותי,1129,40.53,0,4
מי,1105,40.43,0,2
להיות,1093,40.39,0,5
אלא,1080,40.33,0,3
מן,1080,40.33,0,2
ישראל,1076,40.32,0,5
עכשיו,1028,40.12,0,5
איך,1007,40.03,0,3
היום,997,39.99,0,4
אותם,982,39.92,0,4
כן,979,39.91,0,2
יכול,976,39.89,0,4
להם,972,39.88,0,3
שאני,961,39.83,0,4
ה,952,39.79,0,1
ביותר,922,39.65,0,5
אולי,922,39.65,0,4
בבית,907,39.58,0,4
יום,902,39.55,0,3
שנים,883,39.46,0,4
אלה,875,39.42,0,3
משהו,875,39.42,0,4
בן,870,39.4,0,2
בית,865,39.37,0,3
אפילו,858,39.33,0,5
טוב,854,39.31,0,3
לאחר,850,39.29,0,4
שהיא,841,39.25,0,4
אפשר,836,39.22,0,4
והוא,828,39.18,0,4
ואני,825,39.16,0,4
רוצה,825,39.16,0,4
בה,820,39.14,0,2
שני,819,39.13,0,3
לנו,816,39.12,0,3
אומר,811,39.09,0,4
אמרה,808,39.07,0,4
הרבה,802,39.04,0,4
אנחנו,798,39.02,0,5
אנשים,787,38.96,0,5
הייתי,784,38.94,0,5
כאן,767,38.85,0,3
וגם,763,38.83,0,3
תמיד,745,38.72,0,4
אדם,744,38.72,0,3
שוב,734,38.66,0,3
האם,732,38.65,0,3
צריך,731,38.64,0,4
לעשות,726,38.61,0,5
זמן,722,38.59,0,3
כאילו,718,38.56,0,5
שלנו,711,38.52,0,4
בלי,709,38.51,0,3
עליו,699,38.44,0,4
כמעט,696,38.43,0,4
יודע,693,38.41,0,4
מדי,685,38.36,0,3
שלהם,682,38.34,0,4
בני,672,38.27,0,3
ואת,662,38.21,0,3
למה,653,38.15,0,3
ידי,652,38.14,0,3
הן,649,38.12,0,2
ממש,648,38.12,0,3
שנה,644,38.09,0,3
עצמו,642,38.08,0,4
נראה,642,38.08,0,4
שיש,635,38.03,0,3
יהיה,631,38,0,4
שלך,622,37.94,0,3
הזאת,616,37.9,0,4
עדיין,615,37.89,0,5
שום,611,37.86,0,3
רבים,609,37.85,0,4
הבית,604,37.81,0,4
שבו,599,37.77,0,3
גדול,597,37.76,0,4
שהיה,596,37.75,0,4
פי,593,37.73,0,2
לכל,591,37.72,0,3
ראש,582,37.65,0,3
האלה,581,37.64,0,4
בתוך,580,37.63,0,4
קצת,576,37.6,0,3
הראשון,564,37.51,0,6
אחרים,557,37.46,0,5
חיים,555,37.44,0,4
שהם,553,37.43,0,3
כאשר,550,37.4,0,4
קשה,547,37.38,0,3
אמא,545,37.36,0,3
איש,532,37.26,0,3
החיים,531,37.25,0,5
בדיוק,531,37.25,0,5
דרך,530,37.24,0,3
הזמן,530,37.24,0,4
אינו,530,37.24,0,4
שזה,530,37.24,0,3
אבא,525,37.2,0,3
בגלל,521,37.17,0,4
ואז,520,37.16,0,3
מספר,518,37.14,0,4
הספר,514,37.11,0,4
הייתה,502,37.01,0,5
כלל,502,37.01,0,3
בדרך,498,36.97,0,4
במקום,498,36.97,0,5
העולם,496,36.95,0,5
לראות,495,36.95,0,5
מקום,492,36.92,0,4
מהם,492,36.92,0,3
אשר,491,36.91,0,3
ל,489,36.89,0,1
והיא,489,36.89,0,4
בהם,488,36.88,0,3
פה,484,36.85,0,2
אומרת,484,36.85,0,5
רב,481,36.82,0,2
הארץ,477,36.79,0,4
מאז,474,36.76,0,3
מעל,473,36.75,0,3
כולם,472,36.74,0,4
ועל,470,36.72,0,3
באופן,469,36.71,0,5
אליו,461,36.64,0,4
אי,456,36.59,0,2
ממנו,455,36.58,0,4
דווקא,451,36.54,0,5
מול,449,36.52,0,3
כ,449,36.52,0,1
בעולם,449,36.52,0,5
ללא,448,36.51,0,3
חלק,448,36.51,0,3
פני,446,36.49,0,3
איזה,445,36.48,0,4
כזה,444,36.47,0,3
באמת,442,36.45,0,4
ליד,441,36.44,0,3
פחות,436,36.39,0,4
מתוך,435,36.38,0,4
שונים,432,36.35,0,5
ועוד,431,36.34,0,4
הכל,430,36.33,0,3
למרות,428,36.31,0,5
מכל,426,36.29,0,3
הראשונה,426,36.29,0,7
נגד,425,36.28,0,3
נכון,425,36.28,0,4
ילדים,424,36.27,0,5
למשל,418,36.21,0,4
שאין,418,36.21,0,4
בעל,416,36.19,0,3
ביום,412,36.15,0,4
במשך,409,36.12,0,4
ככה,408,36.11,0,3
מעט,404,36.06,0,3
עושה,400,36.02,0,4
קטן,398,36,0,3
יכולה,396,35.98,0,5
אותך,394,35.95,0,4
אחרת,393,35.94,0,4
הרי,391,35.92,0,3
בכלל,387,35.88,0,4
הגדול,386,35.87,0,5
רבות,385,35.85,0,4
יודעת,384,35.84,0,5
בישראל,381,35.81,0,6
מיד,379,35.79,0,3
עליה,379,35.79,0,4
משום,378,35.77,0,4
אמרתי,378,35.77,0,5
אביב,376,35.75,0,4
אולם,375,35.74,0,4
תוך,375,35.74,0,3
מתחת,374,35.73,0,4
ימים,374,35.73,0,4
הכי,374,35.73,0,3
בת,372,35.71,0,2
שתי,371,35.69,0,3
בעיקר,371,35.69,0,5
רואה,365,35.62,0,4
מישהו,365,35.62,0,5
פשוט,364,35.61,0,4
בעלי,364,35.61,0,4
לדבר,363,35.6,0,4
אצל,363,35.6,0,3
הכול,362,35.59,0,4
פתאום,361,35.58,0,5
סוף,352,35.47,0,3
בארץ,351,35.45,0,4
בשביל,350,35.44,0,5
אינה,350,35.44,0,4
מפני,349,35.43,0,4
לב,349,35.43,0,2
שלושה,349,35.43,0,5
לפי,346,35.39,0,3
העיר,346,35.39,0,4
הממשלה,346,35.39,0,6
שלוש,346,35.39,0,4
עלי,342,35.34,0,3
רגע,342,35.34,0,3
אתם,342,35.34,0,3
שעות,341,35.33,0,4
בזמן,336,35.26,0,4
ניתן,335,35.25,0,4
קודם,334,35.24,0,4
שאל,334,35.24,0,3
גדולה,334,35.24,0,5
אלי,334,35.24,0,3
הילד,333,35.22,0,4
לכך,332,35.21,0,3
שבה,331,35.2,0,3
ו,331,35.2,0,1
כפי,329,35.17,0,3
קרה,329,35.17,0,3
הילדים,328,35.16,0,6
הדבר,327,35.15,0,4
כאלה,327,35.15,0,4
לבית,325,35.12,0,4
דברים,324,35.11,0,5
בלתי,320,35.05,0,4
וכל,317,35.01,0,3
הביתה,316,35,0,5
באמצעות,316,35,0,7
אותנו,315,34.98,0,5
די,314,34.97,0,2
במיוחד,314,34.97,0,6
האחרון,313,34.96,0,6
אותן,312,34.94,0,4
לבין,312,34.94,0,4
לדעת,310,34.91,0,4
אינם,308,34.89,0,4
מים,308,34.89,0,3
האדם,307,34.87,0,4
רוב,305,34.84,0,3
הגוף,304,34.83,0,4
לומר,302,34.8,0,4
ידע,302,34.8,0,3
לפחות,302,34.8,0,5
באותו,301,34.79,0,5
השני,300,34.77,0,4
שעה,300,34.77,0,3
ואף,299,34.76,0,3
בסדר,298,34.74,0,4
המדינה,298,34.74,0,6
אנו,298,34.74,0,3
דקות,297,34.73,0,4
בלבד,297,34.73,0,4
המים,296,34.71,0,4
עצמה,296,34.71,0,4
בי,295,34.7,0,2
הים,295,34.7,0,3
אלף,294,34.68,0,3
חושב,293,34.67,0,4
לפעמים,292,34.65,0,6
יד,292,34.65,0,2
בשנת,292,34.65,0,4
יפה,292,34.65,0,3
ילד,292,34.65,0,3
ולכן,292,34.65,0,4
מבין,292,34.65,0,4
ואם,291,34.64,0,3
מזה,291,34.64,0,3
בא,291,34.64,0,2
סביב,290,34.62,0,4
פנים,289,34.61,0,4
לכן,288,34.59,0,3
יחד,287,34.58,0,3
להגיע,287,34.58,0,5
וזה,286,34.56,0,3
שאלה,285,34.55,0,4
פעמים,285,34.55,0,5
עליהם,284,34.53,0,5
ככל,284,34.53,0,3
שכל,282,34.5,0,3
ומה,282,34.5,0,3
הדלת,281,34.49,0,4
ושוב,279,34.46,0,4
פניו,279,34.46,0,4
שהיו,279,34.46,0,4
לגמרי,279,34.46,0,5
ספר,278,34.44,0,3
הלילה,278,34.44,0,5
חדש,277,34.42,0,3
הדרך,276,34.41,0,4
כסף,276,34.41,0,3
חשוב,276,34.41,0,4
מעולם,275,34.39,0,5
כה,275,34.39,0,2
מעבר,274,34.38,0,4
לילה,274,34.38,0,4
חיזבאללה,274,34.38,0,8
ברור,274,34.38,0,4
יכולים,272,34.35,0,6
ללכת,270,34.31,0,4
נשים,270,34.31,0,4
בעוד,268,34.28,0,4
מיליון,267,34.27,0,6
ואחר,266,34.25,0,4
למצוא,266,34.25,0,5
נמצא,266,34.25,0,4
כלומר,265,34.23,0,5
אחרות,264,34.22,0,5
ממנה,264,34.22,0,4
והם,264,34.22,0,3
לבנון,264,34.22,0,5
בסוף,263,34.2,0,4
